Prefix,Coefficient,Estimate,Est.Error,Q2.5,Q97.5,% Samples > 0
Next item: ,Intercept,-0.132,0.163,-0.451,0.185,20.75
Next item: ,Culture,0.414,0.254,-0.078,0.916,94.94500000000001
Next item: ,Power,0.720,0.263,0.204,1.236,99.665
Next item: ,Freq,0.091,0.087,-0.079,0.263,85.17
Next item: ,Len,-0.209,0.134,-0.476,0.052,5.87
example: ,Intercept,-0.364,0.315,-0.977,0.248,12.264999999999999
example: ,Culture,0.840,0.483,-0.076,1.814,96.325
example: ,Power,0.020,0.472,-0.909,0.938,51.775000000000006
example: ,Freq,0.329,0.169,-0.004,0.661,97.375
example: ,Len,-0.469,0.264,-0.990,0.040,3.5549999999999997
instance: ,Intercept,-0.388,0.405,-1.184,0.412,16.695
instance: ,Culture,1.266,0.654,0.039,2.614,97.88
instance: ,Power,0.101,0.590,-1.059,1.273,56.98
instance: ,Freq,0.349,0.222,-0.085,0.787,94.41000000000001
instance: ,Len,-0.597,0.344,-1.274,0.073,3.94
try this: ,Intercept,-0.117,0.235,-0.572,0.346,30.8
try this: ,Culture,1.423,0.378,0.680,2.162,99.995
try this: ,Power,0.609,0.363,-0.097,1.329,95.41
try this: ,Freq,-0.020,0.124,-0.264,0.226,43.655
try this: ,Len,-0.205,0.190,-0.582,0.168,13.87
